Date,Open,High,Low,Close,Adj Close,Volume
2016-05-09,23.250000,23.442499,23.147499,23.197500,21.670759,131745600
2016-05-10,23.332500,23.392500,23.027500,23.355000,21.817886,134747200
2016-05-11,23.370001,23.392500,23.115000,23.127501,21.605364,114876400
2016-05-12,23.180000,23.195000,22.367500,22.584999,21.098566,305258800
2016-05-13,22.500000,22.917500,22.500000,22.629999,21.140608,177571200
2016-05-16,23.097500,23.597500,22.912500,23.469999,21.925322,245039200
2016-05-17,23.637501,23.674999,23.252501,23.372499,21.834238,187667600
2016-05-18,23.540001,23.802500,23.472500,23.639999,22.084131,168249600
2016-05-19,23.660000,23.660000,23.392500,23.549999,22.000053,121768400
2016-05-20,23.660000,23.857500,23.629999,23.805000,22.238272,128104000
2016-05-23,23.967501,24.297501,23.917500,24.107500,22.520861,152074400
2016-05-24,24.305000,24.522499,24.209999,24.475000,22.864182,140560800
2016-05-25,24.667500,24.934999,24.527500,24.905001,23.265877,152675200
2016-05-26,24.920000,25.182501,24.660000,25.102501,23.450378,225324800
2016-05-27,24.860001,25.117500,24.812500,25.087500,23.436363,145364800
2016-05-31,24.900000,25.100000,24.705000,24.965000,23.321924,169228800
2016-06-01,24.754999,24.885000,24.582500,24.615000,22.994963,116693200
2016-06-02,24.400000,24.459999,24.157499,24.430000,22.822144,160766400
2016-06-03,24.447500,24.567499,24.362499,24.480000,22.868847,114019600
2016-06-06,24.497499,25.472500,24.387501,24.657499,23.034662,93170000
2016-06-07,24.812500,24.967501,24.740000,24.757500,23.128084,89638000
2016-06-08,24.754999,24.889999,24.670000,24.735001,23.107069,83392400
2016-06-09,24.625000,24.997499,24.615000,24.912500,23.272882,106405600
2016-06-10,24.632500,24.837500,24.620001,24.707500,23.081377,126851600
2016-06-13,24.672501,24.780001,24.275000,24.334999,22.733387,152082000
2016-06-14,24.330000,24.620001,24.187500,24.365000,22.761415,127727600
2016-06-15,24.455000,24.602501,24.257500,24.285000,22.686680,117780800
2016-06-16,24.112499,24.437500,24.017500,24.387501,22.782436,125307200
2016-06-17,24.155001,24.162500,23.825001,23.832500,22.263964,244032800
2016-06-20,24.000000,24.142500,23.757500,23.775000,22.210251,137647600
2016-06-21,23.735001,24.087500,23.670000,23.977501,22.399418,142185600
2016-06-22,24.062500,24.222500,23.837500,23.887501,22.315344,116876400
2016-06-23,23.985001,24.072500,23.812500,24.025000,22.443794,128960800
2016-06-24,23.227501,23.665001,23.162500,23.350000,21.813219,301245600
2016-06-27,23.250000,23.262501,22.875000,23.010000,21.495594,181958400
2016-06-28,23.225000,23.415001,23.035000,23.397499,21.857594,161779600
2016-06-29,23.492500,23.637501,23.407499,23.600000,22.046766,146124000
2016-06-30,23.610001,23.942499,23.575001,23.900000,22.327021,143345600
2016-07-01,23.872499,24.117500,23.832500,23.972500,22.394749,104106000
2016-07-05,23.847500,23.850000,23.615000,23.747499,22.184555,110820800
2016-07-06,23.650000,23.915001,23.592501,23.882500,22.310671,123796400
2016-07-07,23.924999,24.125000,23.905001,23.985001,22.406425,100558400
2016-07-08,24.122499,24.222500,24.012501,24.170000,22.579247,115648400
2016-07-11,24.187500,24.412500,24.182501,24.245001,22.649311,95179600
2016-07-12,24.292500,24.424999,24.280001,24.355000,22.752075,96670000
2016-07-13,24.352501,24.417500,24.209999,24.217501,22.623623,103568800
2016-07-14,24.347500,24.747499,24.330000,24.697500,23.072033,155676000
2016-07-15,24.730000,24.825001,24.625000,24.695000,23.069700,120548000
2016-07-18,24.674999,25.032499,24.650000,24.957500,23.314920,145975600
2016-07-19,24.889999,25.000000,24.834999,24.967501,23.324263,95119600
2016-07-20,25.000000,25.115000,24.934999,24.990000,23.345284,105104000
2016-07-21,24.957500,25.250000,24.782499,24.857500,23.221504,130808000
2016-07-22,24.815001,24.825001,24.577499,24.665001,23.041672,113254800
2016-07-25,24.562500,24.709999,24.230000,24.334999,22.733387,161531600
2016-07-26,24.205000,24.492500,24.105000,24.167500,22.576918,224959200
2016-07-27,26.067499,26.087500,25.687500,25.737499,24.043583,369379200
2016-07-28,25.707500,26.112499,25.705000,26.084999,24.368214,159479200
2016-07-29,26.047501,26.137501,25.920000,26.052500,24.337851,110934800
2016-08-01,26.102501,26.537500,26.102501,26.512501,24.767578,152671600
2016-08-02,26.512501,26.517500,26.000000,26.120001,24.400913,135266400
2016-08-03,26.202499,26.459999,26.192499,26.447500,24.706854,120810400
2016-08-04,26.395000,26.500000,26.320000,26.467501,24.859488,109634800
2016-08-05,26.567499,26.912500,26.545000,26.870001,25.237530,162213600
2016-08-08,26.879999,27.092501,26.790001,27.092501,25.446508,112148800
2016-08-09,27.057501,27.235001,27.002501,27.202499,25.549829,105260800
2016-08-10,27.177500,27.225000,26.940001,27.000000,25.359632,96034000
2016-08-11,27.129999,27.232500,26.962500,26.982500,25.343191,109938000
2016-08-12,26.945000,27.110001,26.945000,27.045000,25.401896,74641600
2016-08-15,27.035000,27.385000,27.020000,27.370001,25.707157,103472800
2016-08-16,27.407499,27.557501,27.302500,27.344999,25.683668,135177600
2016-08-17,27.275000,27.342501,27.084999,27.305000,25.646103,101424000
2016-08-18,27.307501,27.400000,27.254999,27.270000,25.613228,87938800
2016-08-19,27.192499,27.422501,27.090000,27.340000,25.678976,101472400
2016-08-22,27.215000,27.275000,26.962500,27.127501,25.479387,103280800
2016-08-23,27.147499,27.330000,27.132500,27.212500,25.559221,85030800
2016-08-24,27.142500,27.187500,26.920000,27.007500,25.366678,94700400
2016-08-25,26.847500,26.969999,26.670000,26.892500,25.258661,100344800
2016-08-26,26.852501,26.987499,26.577499,26.735001,25.110729,111065200
2016-08-29,26.655001,26.860001,26.572500,26.705000,25.082554,99881200
2016-08-30,26.450001,26.625000,26.375000,26.500000,24.890011,99455600
2016-08-31,26.415001,26.642500,26.410000,26.525000,24.913488,118649600
2016-09-01,26.535000,26.700001,26.405001,26.682501,25.061424,106806000
2016-09-02,26.924999,27.000000,26.705000,26.932501,25.296234,107210000
2016-09-06,26.975000,27.075001,26.877501,26.924999,25.289190,107521600
2016-09-07,26.957500,27.190001,26.767500,27.090000,25.444162,169457200
2016-09-08,26.812500,26.817499,26.309999,26.379999,24.777298,212008000
2016-09-09,26.160000,26.430000,25.782499,25.782499,24.216099,186228000
2016-09-12,25.662500,26.430000,25.632500,26.360001,24.758516,181171200
2016-09-13,26.877501,27.197500,26.809999,26.987499,25.347887,248704800
2016-09-14,27.182501,28.257500,27.150000,27.942499,26.244867,443554800
2016-09-15,28.465000,28.932501,28.372499,28.892500,27.137156,359934400
2016-09-16,28.780001,29.032499,28.510000,28.730000,26.984528,319547600
2016-09-19,28.797501,29.045000,28.312500,28.395000,26.669876,188092000
2016-09-20,28.262501,28.530001,28.127501,28.392500,26.667530,138057200
2016-09-21,28.462500,28.497499,28.110001,28.387501,26.662834,144012800
2016-09-22,28.587500,28.735001,28.500000,28.655001,26.914087,124296000
2016-09-23,28.605000,28.697500,27.887501,28.177500,26.465593,209924800
2016-09-26,27.910000,28.347500,27.887501,28.219999,26.505508,119477600
2016-09-27,28.250000,28.295000,28.084999,28.272499,26.554825,98429600
2016-09-28,28.422501,28.660000,28.357500,28.487499,26.756763,118564400
2016-09-29,28.290001,28.450001,27.950001,28.045000,26.341145,143548000
2016-09-30,28.115000,28.342501,27.950001,28.262501,26.545429,145516400
2016-10-03,28.177500,28.262501,28.070000,28.129999,26.420979,86807200
2016-10-04,28.264999,28.577499,28.157499,28.250000,26.533686,118947200
2016-10-05,28.350000,28.415001,28.172501,28.262501,26.545429,85812400
2016-10-06,28.424999,28.584999,28.282499,28.472500,26.742670,115117200
2016-10-07,28.577499,28.639999,28.377501,28.514999,26.782583,97433600
